,Player,Component 1,Component 2
779,Brittney Griner,7.205114184268214,-2.7711732474450583
780,Elena Delle Donne,7.172582631459051,-0.8284209737296118
781,Arike Ogunbowale,5.423933512494809,2.9790946105918006
782,Natasha Howard,8.915047494979264,-2.246194753835683
783,DeWanna Bonner,7.157099625655254,0.33873556838406693
784,Tina Charles,6.500624045378948,-2.205717957508776
785,A'ja Wilson,5.4777599791854295,-3.373915505926583
786,Diamond DeShields,5.678068863811324,1.4030525027494547
787,Nneka Ogwumike,6.955682678723485,-2.2449233790761256
788,Liz Cambage,6.669993572335683,-4.183659267248492
789,Tiffany Hayes,3.9966803814038876,1.8663150891802092
790,Jonquel Jones,8.048557657025524,-3.7826365950441874
791,Chelsea Gray,4.989411548288706,4.506967914202916
792,Odyssey Sims,4.627852823674358,2.161104314936876
793,Allie Quigley,2.9965564300056213,3.455075496860241
794,Kia Nurse,3.0394780957667082,2.7747272142996113
795,Kelsey Mitchell,2.1725336442451852,3.8963840090405633
796,Sylvia Fowles,5.971288711918173,-5.125755312619273
797,Kayla McBride,3.58070987517463,2.597161756598025
798,Courtney Williams,3.8380519032668943,0.2788622283146354
799,Emma Meesseman,2.8830396977916175,0.2902057450366226
800,Napheesa Collier,5.643668822304991,-0.9055624352066157
801,Kristi Toliver,3.2182726918352462,3.4565989842021403
802,Leilani Mitchell,3.6210229030795973,3.3552222861700995
803,Riquna Williams,2.5502189133913156,3.1001048965831752
804,Jewell Loyd,2.4151386643763932,2.3088322521116136
805,Alyssa Thomas,5.010196332183224,-2.874982931187101
806,Candice Dupree,2.120946934465964,-1.2061058062368213
807,Aerial Powers,2.2345508821585134,1.4486500575619212
808,Candace Parker,4.111942021115711,-0.3755038433786545
809,Courtney Vandersloot,4.824408141703393,1.9730146013585754
810,Jasmine Thomas,3.3192853618145954,2.858639844906552
811,Dearica Hamby,4.2275292304472725,-2.197093619035595
812,Allisha Gray,3.050007547488199,0.5440317461819028
813,Kayla Thornton,2.7832761162740827,0.35367735371936987
814,Ariel Atkins,2.1859052216763333,1.8599079376457919
815,Brittney Sykes,2.29263123840488,0.5647661426057429
816,Danielle Robinson,2.405311716846409,0.669762721559505
817,Erica Wheeler,2.6510615106220397,3.0586783842325085
818,Jantel Lavender,2.0266648026499583,-1.9199864629875327
819,Teaira McCowan,4.536963032467932,-5.975223836006566
820,Jordin Canada,2.904291422381542,1.4133534211469478
821,Bria Hartley,1.7668105115259105,1.4558610040314572
822,Tiffany Mitchell,1.5898864165028517,0.7782916155381463
823,Asia (AD) Durr,0.20308387383843046,1.1161267659473153
824,Alysha Clark,2.361269030177162,1.50341608556131
