,Player,Component 1,Component 2
313,Breanna Stewart,8.186326565993847,0.05928165846392098
314,Kelsey Plum,6.368688351656772,-4.269756396065795
315,Skylar Diggins-Smith,7.182178907687699,-1.2527449899380207
316,Arike Ogunbowale,5.659192785179342,-3.842661533720292
317,A'ja Wilson,8.649258604860652,4.192433432274615
318,Kelsey Mitchell,4.565312185728912,-3.491113071175644
319,Nneka Ogwumike,5.686889325542944,1.212200367931568
320,Sabrina Ionescu,7.768185461680954,-1.23360773918741
321,Elena Delle Donne,4.919616590175627,0.24750731208904564
322,Diana Taurasi,5.8683424076240485,-3.9734808041451957
323,Jewell Loyd,4.3730954485780344,-3.3212035433264164
324,Rhyne Howard,5.209876663321321,-2.185911213409799
325,Tiffany Hayes,3.383094175693927,-1.7218687623403894
326,Jackie Young,4.724886377757704,-1.256507504327629
327,Kahleah Copper,4.446288260986495,-0.16859743583280157
328,Natasha Howard,6.39649166132173,2.4466544457942336
329,Tina Charles,4.951442848977082,1.123756540924523
330,Ariel Atkins,3.818526036924499,-1.9261816681830066
331,Jonquel Jones,6.533265048106762,3.1431407466801597
332,Aerial Powers,4.423939982494022,-0.2890931104065071
333,Sylvia Fowles,5.6904900224987065,5.780418518626397
334,Brionna Jones,3.422203560401079,2.716229863090591
335,Chelsea Gray,4.034225056405529,-1.9242134664946173
336,Marina Mabrey,3.4202416182325113,-1.7922657442406782
337,NaLyssa Smith,4.613000566971861,2.093709799009015
338,DeWanna Bonner,3.9884159594124746,-1.1392566500124328
339,Alyssa Thomas,7.18012474917382,3.6688672529641155
340,Allisha Gray,4.030126840833532,-1.0729149717091726
341,Kayla McBride,2.6192067702016186,-2.2282666815658803
342,Candace Parker,6.757817415008359,1.731129257133542
343,Diamond DeShields,3.3822485421340804,-0.18769406215322978
344,Liz Cambage,4.387389571723062,2.8555909500611363
345,Brittney Sykes,3.8426222088726294,-0.12953513063295793
346,Sophie Cunningham,3.075385032265809,-1.8254160864918585
347,Emma Meesseman,3.808905795115251,1.4799953308515998
348,Cheyenne Parker-Tyus,3.5466610194996515,2.373811690329961
349,Courtney Vandersloot,4.048892725611499,-0.8830437926216068
350,Allie Quigley,2.0505102244155204,-2.2517210099182554
351,Satou Sabally,2.5396336906693096,-0.08512336487637161
352,Betnijah Laney-Hamilton,1.7423013299513463,-1.7136545272673551
353,Courtney Williams,2.3026785008171076,-0.12823135779009165
354,Aari McDonald,2.189410338211563,-1.943580054562865
355,Teaira McCowan,3.276328513390556,5.375754626137193
356,Maya Caldwell,0.6541942614650375,-2.1192716470008164
357,Natasha Cloud,3.7760323258433828,-1.8424479508405442
358,Azurá Stevens,1.157083117777493,0.19802391836372796
359,Moriah Jefferson,2.480822709931932,-1.7558599238240171
360,Marine Johannès,1.0091997919826163,-3.228735905988533
361,Shey Peddy,2.671408012157891,-1.255064132307338
362,Victoria Vivians,1.981051725503228,-1.2813170437338413
363,Katie Lou Samuelson,1.1894946773313906,-2.057649091873283
364,Ezi Magbegor,2.506967919217891,3.1050417353002473
365,Dearica Hamby,2.7455513982442294,1.8486119690359186
366,Jordin Canada,1.8761834898290621,-0.8817484885230993
367,Natisha Hiedeman,1.1067182570522236,-2.7194616770661417
368,Myisha Hines-Allen,1.4497280991700014,0.31106832385314354
369,Chennedy Carter,-0.18465958480854258,0.37979636529584415
370,Isabelle Harrison,1.3223217956948161,0.2155429285397728
371,Shakira Austin,1.9256201377392164,3.98142337936411
372,Han Xu,-0.20505738118676223,0.8275610140547756
373,Rebekah Gardner,1.3451570061838731,0.7454618137162964
374,Erica Wheeler,1.5946233838192532,-1.2538273319001882
375,Jessica Shepard,2.386591854935058,2.903326971189638
376,Stefanie Dolson,1.5908401366374958,1.035914218189875
377,Alysha Clark,1.3293032588285274,-0.550172583901305
378,Kayla Thornton,2.3381289602785804,1.3214800859264395
379,Rachel Banham,-0.38040363485762546,-2.253897593157275
380,Sue Bird,1.4345354566800463,-3.6995699160531235
381,Gabby Williams,1.5585053562838986,0.5646328873203755
382,Danielle Robinson,0.4409499267049755,-0.4683057380028336
383,Napheesa Collier,-0.8958285168646382,0.14040262461402178
384,Queen Egbo,1.6306063563608648,3.959434301985479
385,Lexie Brown,-0.344026424388238,-1.84916796607482
386,Chiney Ogwumike,1.1502813789679065,2.053071778099021
387,Asia (AD) Durr,-1.3925458806013324,-1.213041239789376
388,Rebecca Allen,0.2178984982669817,-0.27514827106515927
389,Shatori Walker-Kimbrough,-0.22020652138648916,-0.9862755976685619
390,Odyssey Sims,-0.19406304337509792,-1.1037231237467144
391,Emma Cannon,-0.6805247245970907,0.2339963786685684
392,DiJonai Carrington,0.03623731522457121,0.26927389182458655
393,Lindsay Allen,-1.3723097713753392,-1.7784163985278465
394,Riquna Williams,-0.9655634678757155,-1.9790222177471901
395,Jasmine Thomas,0.036903495023814716,-1.825249004217055
396,Kristy Wallace,-0.2899449147939949,-0.8241125860681507
397,Tiffany Mitchell,-1.2711179708559472,-0.5427097868341684
398,Sami Whitcomb,0.01251260697702358,-2.313574239537676
399,Monique Billings,0.5281992803846765,3.0081218610620626
400,Nia Coffey,0.3239190862872235,0.4627629270889471
401,Angel McCoughtry,-1.0284429341932066,1.0628053097147636
402,Katie Benzan,-2.1143229051083394,-1.5257301072538085
403,Nikolina Milic,-0.972450029423789,1.318971693946525
404,Kristi Toliver,-0.929852467096214,-2.6481053018353737
405,Sparkle Taylor,-3.1189863857788565,0.8591374790739928
406,Crystal Dangerfield,-1.1521643822623135,-0.8903752785356068
407,Kennedy Burke,-1.8507597780870615,-0.1773700385596281
408,Elizabeth Williams,-1.1179683096717823,2.548369718394687
409,Destanni Henderson,-1.3237967746461794,-0.8517166377662451
410,Natalie Achonwa,-1.0949876264368184,1.8285466942232045
411,Emily Engstler,0.5799584884233793,2.527384058020496
412,Damiris Dantas,-1.079923099588729,-0.998165559718776
413,Stephanie Talbot,-0.9976396120429541,-0.14433424233472325
414,Tyasha Harris,-1.8551916775234822,-0.9239503607348519
415,Tianna Hawkins,-1.4998084764476158,-0.40776233976194043
416,Kaela Davis,-2.62870718952321,-0.6954907267567901
417,Michaela Onyenwere,-1.722858868234847,0.1227990496497726
418,Destiny Slocum,-2.3220437351064547,-1.4125224162700052
419,Naz Hillmon,-0.751768614899534,2.5534509433897967
420,Alanna Smith,-1.6146884194626727,0.3424258943137642
421,Bridget Carleton,-1.797630867269724,-0.6361156938969195
422,Brianna Turner,1.5290134749188018,4.386272904629366
423,Dana Evans,-2.5978088663237173,-1.0285107083826803
424,Olivia Nelson-Ododa,-1.691531623456022,2.7151052103256963
425,Theresa Plaisance,-2.026968859779645,-0.45279027259924853
426,Yvonne Turner,-2.19918862645648,-1.0680626493496161
427,Epiphanny Prince,-2.2707442022614233,-1.3154916227723672
428,Lexie Hull,-2.3813574361284258,-0.1975843295861139
429,Iliana Rupert,-2.7240355176863913,0.031235739756280037
430,Jantel Lavender,-2.2123773714644512,0.8461681744932713
431,Megan Gustafson,-2.3264289472072925,0.3742001549531389
432,Briann January,-1.4975993262803307,-1.2663563783198093
433,Alaina Coates,-2.4491447992360094,1.8819146662286146
434,Jennie Simms,-2.220432029646496,0.4238632017410268
435,Megan Walker,-3.5442304080954448,-0.8169361314124417
436,Yvonne Anderson,-2.8544902793265585,-0.7150958154553378
437,Bria Hartley,-3.5635090392314592,-1.0713633027985359
438,Karlie Samuelson,-3.5233281077734007,-0.594793116235392
439,Julie Allemand,-2.0849382759807265,-0.6680852053125261
440,Evina Westbrook,-3.197368347689141,-0.09684201253587567
441,Awak Kuier,-2.593818722196656,1.5139244188571994
442,Jocelyn Willoughby,-3.6165699664464723,0.16842898031034376
443,Kianna Smith,-3.857157970203678,-0.6897200272794686
444,Veronica Burton,-1.9953403637440414,-0.20356442816715462
445,Kia Vaughn,-2.186473008213805,1.5705180366280103
446,Ruthy Hebard,-3.6329904350000493,1.1364426599827009
447,DiDi Richards,-3.143562719253045,0.3400055821071917
448,Kiah Stokes,-1.681022185125545,1.7479554928144945
449,Khayla Pointer,-4.227093631795452,0.33392184194350694
450,Reshanda Gray,-2.926788960839823,0.8734042046216659
451,Beatrice Mompremier,-3.3261774462072893,2.3424866358563006
452,Nia Clouden,-3.9043063062779604,-0.5768725151444789
453,Joyner Holmes,-3.808776936899738,-0.046368817117813335
454,Anneli Maley,-3.3969256476007716,0.30519835764909714
455,Charli Collier,-4.551394658641455,0.7742668197978031
456,Mercedes Russell,-3.9767348773991458,1.1526556740243048
457,Rui Machida,-3.063281946707309,-0.5357069419459592
458,Stephanie Jones,-4.540280923056594,-0.692170936628597
459,Li Yueru,-4.148736216537393,0.9042865728215379
460,Rae Burrell,-3.8551860805074387,-0.7847550283598649
461,Jasmine Walker,-3.8584660327100173,-0.19111978723832276
462,Sydney Colson,-4.246042251321018,-0.745303520011504
