,Player,Component 1,Component 2
1093,Brittney Griner,8.031925896329565,-4.36986376394612
1094,Breanna Stewart,8.625510861434803,-1.3278088566266377
1095,Tina Charles,7.664796802908758,-1.989890585846636
1096,Elena Delle Donne,6.676514563579382,-0.7328828243095453
1097,Sylvia Fowles,8.827217810749033,-6.516121404976543
1098,Nneka Ogwumike,7.078052071321607,-1.806378897642661
1099,Skylar Diggins-Smith,6.67149291019843,2.429751143927535
1100,Diana Taurasi,5.2726740165139905,4.781626746608962
1101,Jewell Loyd,5.135974580614929,2.547297203348779
1102,Maya Moore,6.358419375188493,2.042609606137999
1103,Candace Parker,8.584587557437585,-0.9186678939754721
1104,Allie Quigley,4.410076134537172,3.7200248037883035
1105,Tiffany Hayes,4.912113339393212,1.9176833616562872
1106,Kayla McBride,4.248390566974613,2.595928141528941
1107,Jonquel Jones,8.169842464406141,-5.404989477835067
1108,Candice Dupree,3.3423301863946584,-1.6552999806660575
1109,Glory Johnson,6.214382953161597,-2.5923270794052597
1110,Alyssa Thomas,6.052991765339518,-1.9242414007806448
1111,Chelsea Gray,4.277974416130448,2.411536218076212
1112,Stefanie Dolson,4.857982262751982,-0.9776220100301855
1113,Jasmine Thomas,3.7817976688105692,3.5177566218017633
1114,Emma Meesseman,4.30197484079403,-1.2644613236441729
1115,Brittney Sykes,3.251833114853649,0.787655243095125
1116,Tayler Hill,2.6020000079427805,2.978880625047829
1117,Brittany Boyd-Jones,2.1198604434917576,-1.4157962203366368
1118,Allisha Gray,3.2551823663731274,0.5915240749403955
1119,Crystal Langhorne,3.0250497513443837,-1.6179492557132393
1120,Courtney Williams,1.9451210139121338,-0.1780295120615571
1121,Epiphanny Prince,2.966436103619604,1.7075686128838832
1122,Kristi Toliver,2.6478343184421917,4.0614922281379595
1123,Erica Wheeler,2.6132992370636807,3.217457895904045
1124,Shavonte Zellous,3.630537385139055,0.3454686927071603
1125,Courtney Vandersloot,4.320681938513331,1.4963128399768213
1126,Isabelle Harrison,3.3415633264640046,-2.417940010183764
1127,Shenise Johnson,2.046931147697413,0.8752552304185676
1128,Seimone Augustus,1.7715273008076282,1.5982081716619878
1129,Monique Currie,2.1563311325620638,1.4243425454966685
1130,Aerial Powers,1.7492683965940972,0.5232474504263966
1131,Layshia Clarendon,4.131253554545216,0.823142633813727
1132,Sue Bird,2.8320116217539315,4.312143103207766
1133,Sugar Rodgers,2.709326614587658,2.501192931239505
1134,Elizabeth Williams,3.647773542140885,-4.539274266144588
1135,Karima Christmas-Kelly,3.1595095178407373,0.5015855283653471
1136,Tiffany Mitchell,1.8765198573901773,0.8446954754455379
1137,Rebekkah Brunson,3.493300713451742,-0.5096029637010916
1138,Odyssey Sims,1.6800612269262225,1.1089093480066263
1139,Cappie Pondexter,1.9262060632061087,1.0497040435129068
1140,Briann January,1.5858536019623442,1.8241657243184233
1141,Jessica Breland,2.7711690862331713,-2.3920526987348785
1142,Moriah Jefferson,1.1586663281568783,1.4610942184096505
1143,Shekinna Stricklen,1.3786408275359143,2.8379135364973958
1144,Kelsey Plum,1.0754848601089444,2.2976779991177354
1145,Alex Bentley,0.4402883916338134,1.7846969619095374
1146,Tamera Young,1.392912033971201,0.9141955258594604
1147,Alysha Clark,1.1689094930012998,0.2022063718314986
1148,Lindsay Whalen,0.9246329846809771,1.4609729832516278
1149,Leilani Mitchell,1.3491178535074524,2.174438904342179
1150,Ivory Latta,-0.2440792771492617,2.8588472137963143
1151,Renee Montgomery,0.9313544423157968,2.4941294055148067
1152,Bria Hartley,0.2237391134191119,1.8554492140179084
1153,Dearica Hamby,0.87529423181563,-1.209568604544889
1154,Bria Holmes,0.2470256035767813,0.07944864953090906
1155,Damiris Dantas,0.43638533837845606,0.05085000008069401
1156,Theresa Plaisance,1.337126607529749,0.27476900139713234
1157,Jantel Lavender,-0.43964698260229146,-0.267045906403159
1158,Tierra Ruffin-Pratt,1.8654799842186882,-1.8018068746617033
1159,Camille Smith,1.235426539752777,-0.28526013818701546
1160,Natalie Achonwa,-0.28571555522284736,-1.909455802536495
1161,Krystal Thomas,2.6879850627540818,-4.799346028162668
1162,Tianna Hawkins,0.14868517469255968,-0.6936650287043645
1163,Alana Beard,2.0386237074339095,0.2587549545259279
1164,Danielle Robinson,0.7120805464339856,-0.023389841657763182
1165,Kayla Thornton,0.06951864275413477,-0.1646783860782657
1166,Kahleah Copper,-1.2542519166450916,0.14602270203422912
1167,Riquna Williams,-0.42406474772165853,1.7162212369409489
1168,Sancho Lyttle,2.107586695128935,-1.7517202698261995
1169,Kayla Alexander,-0.8623006948538117,-1.75578867725583
1170,Jazmon Gwathmey,-0.32436866208432297,-0.04855061627179058
1171,Kaela Davis,-0.8646416042817431,0.8977424160915741
1172,Alex Montgomery,1.081847530630065,-0.19751958697415076
1173,Lynetta Kizer,-1.2865249269801105,-1.5744099663190403
1174,Kia Vaughn,-0.3547229636372648,-2.480316568290768
1175,Morgan Tuck,-1.3811958307700305,0.534058209320715
1176,Plenette Pierson,-0.8790586166666877,1.0798610055839755
1177,Yvonne Turner,-1.5989972629348534,1.0403015894812555
1178,Marissa Coleman,-1.26976217454689,1.559722962788767
1179,Erlana Larkins,-0.4048283499166174,-1.8963097668719553
1180,Kiah Stokes,0.9967739778900008,-3.826550357798646
1181,Essence Carson,-1.2302142697469258,0.6474549092185328
1182,Allison Hightower,-2.3941323332026223,0.7879835338757536
1183,Kaleena Mosqueda-Lewis,-2.2987913956643222,0.819983556975672
1184,Sami Whitcomb,-1.3801114036379503,1.7268520958293125
1185,Natasha Cloud,-0.8544636384962708,1.0343225285197841
1186,Adut Bulgak,-1.3572477223810389,-1.2089960772161636
1187,Emma Cannon,-1.4457292453356796,-1.776978217028265
1188,Shatori Walker-Kimbrough,-2.194964027938437,0.6723920148068601
1189,Stephanie Talbot,-0.7578964937502729,0.06730348253321516
1190,Natasha Howard,-1.389729175734977,-0.9622379211085991
1191,Courtney Paris,-1.1548498537100995,-2.506730958547816
1192,Jia Perkins,-1.0560791605952022,1.1925695844358852
1193,Imani McGee-Stafford,-1.1520515877472004,-2.0086497010485296
1194,Angel Robinson,-0.7143387189376209,-0.6059266005158179
1195,Jordan Hooper,-2.78956688595376,1.552309785435378
1196,Cheyenne Parker-Tyus,-1.6266711424835123,-2.1106909996279697
1197,Nayo Raincock-Ekunwe,-2.468601821098812,-1.2103862347797656
1198,Keisha Hampton,-2.759858225909442,1.2361830777283378
1199,Erika de Souza,-1.987573404976837,-0.9831705134666668
1200,Jeanette Pohlen-Mavunga,-2.7234612668398652,1.1240618491628596
1201,Erica McCall,-2.7013928689585285,-0.8216963039029279
1202,Rachel Banham,-2.898673657237593,0.986265596656329
1203,Sequoia Holmes,-2.7075667626982107,0.9280788448379977
1204,Cayla George,-1.8801683903906306,-0.16720376532490172
1205,Ramu Tokashiki,-2.1764025678622616,-0.9210423397592583
1206,Cierra Burdick,-3.368415382074806,-0.8542633163821733
1207,Sydney Colson,-2.6745388332684095,0.645029787284997
1208,Brionna Jones,-3.0289217544615137,-1.296544508172374
1209,Rebecca Allen,-2.664389941613609,-0.021705609697842704
1210,Saniya Chong,-2.616901326120462,0.7737250271812947
1211,Noelle Quinn,-1.6821561172929587,1.4126254832635183
1212,Bashaara Graves,-3.4525363207156534,-1.3541863421810099
1213,Alexis Jones,-3.1285432308222263,1.0078927588163429
1214,Danielle Adams,-3.2207881355620644,0.9656522728548491
1215,Carolyn Swords,-2.795869468537269,-1.02182025613883
1216,Shay Murphy,-2.7588212455658643,0.7938408074401928
1217,Matee Ajavon,-2.8991962948978625,0.09292919956466679
1218,Sydney Wiese,-3.6992527768362473,0.6127988045704033
1219,Haley Peters,-3.969690800202966,0.7566885967610729
1220,Amanda Zahui B,-3.4023309508531603,-0.23404103617481092
1221,Jennifer Hamson,-3.1291091124564443,-1.8406563441300634
1222,Alexis Peterson,-3.322461546273892,0.4561873076863808
1223,Aneika Morello,-4.2935525128067,-1.6553932072526167
1224,Alexis Prince,-3.6657017465931423,0.5424194337719648
1225,Lindsay Allen,-2.8054932394671805,-0.10362606394718482
1226,Asia Taylor,-3.4136025098948095,-0.8246210741348391
1227,Nia Coffey,-3.36679557822264,-0.8869070705555031
1228,Meighan Simmons,-4.506778677589945,0.4016099995479036
1229,Jennie Simms,-3.9189381050728813,0.1508386464185673
1230,Amber Harris,-3.8997040080228675,-0.7534204108389033
1231,Brianna Kiesel,-4.231219682994629,0.3938783315846986
1232,Kayla Pedersen,-3.080020916588029,-1.0623071924733707
1233,Rachel Hollivay,-4.419988963845933,-1.7614216684489097
1234,Temi Fagbenle,-4.2328273118627555,-0.8749152791333857
1235,Sandrine Gruda,-5.140158392522753,-0.7280860684366426
1236,Tiffany Jackson,-3.9360177615657075,-0.6596220714800142
1237,Ameryst Alston,-5.361503301971774,-1.334828130082433
1238,Darxia Morris,-4.475235136237143,0.9804267963976551
1239,Ify Ibekwe,-4.62979328136875,-0.135210365914311
1240,Evelyn Akhator,-4.846714922710358,-0.5533009370329205
1241,Lanay Montgomery,-5.060612885201361,-1.5082618012833366
1242,Cecilia Zandalasini,-5.720568419069392,-0.7470639482025871
1243,Makayla Epps,-5.134582724498117,-0.03452990952944593
1244,Breanna Lewis,-4.8600419227419955,-0.31182730372547235
1245,Nadia Colhado,-5.035507015911676,-2.105389813556919
1246,Maimouna Diarra,-5.032492016789567,-0.5512163100970309
1247,Chelsea Hopkins,-6.451983986928327,-0.1683392396386187
1248,Feyonda Fitzgerald,-5.486059309071155,-0.6060624023669665
1249,Sophie Brunner,-5.8425382467442235,-0.7689852605254676
