,PLAYER,TEAM,AGE,games played,W,L,avg minutes per game,PTS,FGM (field goals made AKA num baskets made),FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year
90,Stephanie Talbot,SEA,28,30,20,10,17.9,5.7,2.3,4.8,48.3,0.9,2.2,41.5,0.2,0.3,75,0.4,2.5,2.9,1.6,1.6,0.5,0.4,1.9,12.8,0,0,3.3,2021
91,Kylee Shook,NYL,24,30,12,18,18.9,5.7,2.4,5.1,46.7,0.8,2,39.3,0.1,0.2,80,0.7,3.4,4,1.4,1.3,0.3,0.5,1.6,13.5,0,0,-1.7,2021
92,Sophie Cunningham,PHO,25,30,19,11,17.5,5.6,2,4.5,43.7,1.1,2.6,41,0.6,0.9,70.4,0.3,1.7,2,1.1,0.5,0.5,0.2,1.9,11.2,0,0,1.1,2021
93,Alyssa Thomas,CON,30,2,2,0,17.4,5.5,2,7.5,26.7,0,0,0,1.5,2,75,0.5,4.5,5,2,1.5,0.5,0,2,13.5,0,0,9,2021
93,Emma Cannon,IND,33,20,7,13,14.7,5.5,2.3,5.1,44.6,0.4,1.2,29.2,0.7,0.9,72.2,1.3,2.5,3.7,0.9,1.6,0.3,0.2,2.1,11.3,0,0,-3,2021
95,Moriah Jefferson,DAL,28,29,14,15,17.2,5.4,2.3,5.1,44.9,0.8,1.7,46,0.1,0.2,60,0.4,1.6,2,2.5,1.4,0.8,0.2,1.4,12.7,0,0,-0.3,2021
96,Lindsay Allen,IND,27,32,6,26,17.8,5.4,2,4.8,42.8,0.4,1.5,29.8,0.9,1.2,81.1,0.3,1.2,1.5,3,1,0.5,0.1,1.1,11.6,1,0,-5.5,2021
97,Shey Peddy,PHO,33,32,19,13,17.5,5.4,1.9,4.6,41.2,0.8,2.5,33.3,0.7,0.8,92,0.8,1.6,2.3,2.5,1,0.9,0.1,1,13,0,0,-0.5,2021
98,Rachel Banham,MIN,28,27,17,10,12.6,5,1.9,4.8,39.5,1,2.8,37.3,0.2,0.3,62.5,0.1,1.1,1.2,1.6,0.9,0.3,0.1,1.7,9.8,0,0,2.3,2021
99,Tianna Hawkins,ATL,31,28,7,21,15.4,4.9,1.8,4.5,39.7,0.6,2.4,24.2,0.8,0.8,91.3,0.5,2.6,3.1,0.6,1.1,0.4,0.5,2.2,11,0,0,-2.1,2021
100,Bernadett Határ,IND,27,7,2,5,15.2,4.9,2,4.1,48.3,0,0,0,0.9,1,85.7,1,1.6,2.6,0.3,1.6,0.4,0.4,2.6,9.4,0,0,-8.1,2021
101,Bridget Carleton,MIN,25,32,22,10,19.3,4.8,1.7,4.3,40.1,0.8,2.3,36.5,0.5,0.6,80,0.7,1.6,2.3,1.5,0.8,0.8,0.2,1.5,11.3,0,0,0.4,2021
102,Kia Vaughn,PHO,35,28,17,11,15.8,4.6,2.1,4.8,44.4,0,0,0,0.4,0.7,60,0.8,1.9,2.7,1.3,1.3,0.2,0.2,1.6,9.5,0,0,-2.4,2021
103,Megan Walker,PHO,23,29,17,12,14.7,4.5,1.6,5.1,31.1,0.7,2.6,26.7,0.7,1,63.3,0.2,1.1,1.3,0.9,0.8,0.2,0.3,1.8,8.3,0,0,0,2021
104,Sydney Wiese,WAS,27,27,10,17,21.4,4.4,1.5,4.7,32.3,0.9,2.9,29.1,0.5,0.7,77.8,0.2,1.1,1.3,1.6,1,0.4,0,0.7,8.9,0,0,-3.7,2021
105,Tyasha Harris,DAL,24,32,14,18,16.3,4.4,1.5,4.5,33.6,0.6,1.8,33.9,0.8,0.9,83.3,0.3,1.3,1.6,2.7,1,0.4,0.3,1.3,10.7,0,0,-0.7,2021
106,Bria Holmes,LVA,28,19,6,13,16.7,4.4,1.6,5.1,32.3,0.4,1.7,24.2,0.7,1.2,56.5,1.1,1.5,2.6,1.1,1.1,0.8,0.3,1.1,10.7,0,0,-4,2021
107,Shavonte Zellous,WAS,35,28,12,16,15.8,4.3,1.5,4.1,37.7,0.4,1.5,24.4,0.9,1.1,80.6,0.6,1.8,2.4,1.6,0.8,0.4,0.2,1.7,9.8,0,0,-1.9,2021
108,Kaila Charles,CON,24,30,25,5,16.3,4.3,1.6,4.4,36.8,0.3,1.1,30.3,0.7,0.8,87.5,1.1,1.7,2.8,1.1,0.9,0.5,0.4,2,10.2,1,0,2.7,2021
109,Erica McCall,WAS,26,23,8,15,15.5,4.1,1.6,3.2,50,0,0,0,0.9,1.4,62.5,1.4,2.9,4.3,0.6,0.9,0.3,0.4,2,10.3,0,0,-1.3,2021
110,Megan Gustafson,WAS,25,11,5,6,9.9,4,1.7,2.9,59.4,0,0.2,0,0.5,0.8,66.7,1,2.6,3.6,0,0.8,0.2,0.1,0.9,8.2,0,0,-5.5,2021
111,Bria Hartley,PHO,29,6,3,3,8.5,3.7,1.5,2.7,56.3,0.7,1.2,57.1,0,0,0,0.3,0.3,0.7,0.8,0.8,0.2,0,0.2,6.2,0,0,-3.8,2021
111,Natalie Achonwa,MIN,29,21,14,7,12,3.7,1.2,2.9,42.6,0,0,0,1.2,1.3,89.3,0.6,1.6,2.1,1.2,0.6,0.6,0.2,1.6,8.6,0,0,1,2021
113,Karlie Samuelson,SEA,27,14,4,10,14.7,3.6,1.1,3.1,36.4,0.9,2.2,38.7,0.5,0.6,77.8,0.2,1.6,1.9,0.8,0.6,0.5,0,1.5,8.1,0,0,-0.1,2021
114,Charli Collier,DAL,22,28,11,17,12.3,3.4,1.4,3.1,46.5,0,0,0,0.6,0.8,69.6,1.1,2.5,3.6,0.2,0.5,0.1,0.2,1.8,7.9,1,0,-3.5,2021
115,Kristine Anigwe,LAS,25,10,2,8,13.6,3.4,1.2,2.9,41.4,0,0,0,1,1.8,55.6,1.1,2.2,3.3,0.5,1.2,0.5,0.1,2.8,8.4,0,0,-2.1,2021
116,Dana Evans,CHI,23,29,14,15,7.6,3.3,0.9,2.7,34.2,0.6,1.6,40,0.8,0.9,88.5,0,0.3,0.4,1,0.6,0.2,0,0.7,5.7,0,0,0,2021
117,Arella Guirantes,LAS,24,25,8,17,11.6,3.2,1,3.8,27.4,0.2,1.1,22.2,0.8,1,80.8,0.2,1.1,1.3,0.6,0.5,0.3,0.2,1,6.3,0,0,-0.3,2021
118,Leaonna Odom,NYL,24,18,4,14,11.5,3.1,1.2,2.5,46.7,0.3,0.9,29.4,0.5,0.7,75,0.6,0.6,1.2,0.4,0.6,0.3,0.3,1.4,6.1,0,0,-3.8,2021
119,Kennedy Burke,SEA,25,23,15,8,7.7,2.9,1.1,2.4,44.6,0.3,0.8,33.3,0.4,0.7,62.5,0.3,0.5,0.8,0.3,0.5,0.3,0.1,0.6,5.1,0,0,-2.2,2021
120,DiJonai Carrington,CON,24,24,20,4,9.2,2.8,1.1,3.4,32.9,0.1,0.9,14.3,0.5,0.6,73.3,0.6,1.3,2,0.5,0.9,0.5,0.1,1.5,6.8,0,0,0.5,2021
121,Kiara Leslie,WAS,26,9,3,6,9.6,2.8,0.9,2.7,33.3,0.2,0.8,28.6,0.8,0.9,87.5,0.2,2,2.2,0.2,0.4,0.4,0,1.2,6.3,0,0,-3,2021
122,Lauren Cox,LAS,24,26,6,20,11.7,2.6,1,2.5,38.5,0.1,0.3,25,0.6,0.8,80,0.6,2.3,3,0.5,0.6,0.5,0.6,1.1,8.4,0,0,-3,2021
123,Bella Alarie,DAL,24,31,14,17,13.1,2.6,1,2.1,50,0,0.1,0,0.5,0.6,85,1.4,1.9,3.3,0.5,0.6,0.6,0.6,1.4,8.9,0,0,1.5,2021
124,Joyner Holmes,LVA,24,5,5,0,5.6,2.6,1,2,50,0.6,0.8,75,0,0,0,0,0.8,0.8,0.6,0.4,0,0.2,0.6,5,0,0,-0.6,2021
125,Shekinna Stricklen,ATL,31,24,5,19,9.8,2.5,0.9,3.5,25.9,0.6,2.8,21.2,0.1,0.2,40,0.1,0.8,0.9,0.3,0.1,0.4,0.2,1.1,5.5,0,0,-3.3,2021
125,Stephanie Watts,CHI,25,6,2,4,14,2.5,0.7,3.2,21.1,0.2,1.7,10,1,1.3,75,1.3,2.3,3.7,0.5,1.3,0.5,0.3,2.2,8.5,0,0,-4.2,2021
127,Awak Kuier,DAL,20,16,6,10,8.9,2.4,0.8,2.4,30.8,0.2,1.1,16.7,0.7,0.9,78.6,0.6,1.9,2.4,0.6,1,0.3,0.8,0.6,7.7,0,0,-1.5,2021
128,Blake Dietrick,ATL,28,9,2,7,15.7,2.3,0.9,3,29.6,0.6,1.8,31.3,0,0,0,0.3,1.2,1.6,1.2,0.6,0.6,0.1,2.2,7,0,0,-0.7,2021
129,DiDi Richards,NYL,23,31,11,20,11.2,2.3,0.9,2.1,42.2,0.3,0.7,45.5,0.2,0.3,60,0.3,0.8,1.1,0.8,0.5,0.5,0.2,0.8,6,0,0,-2.3,2021
130,Chelsey Perry,IND,23,6,3,3,6.7,2.2,0.8,3,27.8,0.3,1.5,22.2,0.2,0.3,50,0,1,1,0.3,0.3,0.5,0,1.2,4.8,0,0,2.3,2021
131,Jessica Shepard,MIN,25,22,15,7,10.5,2,0.7,2,36.4,0,0.5,8.3,0.5,0.7,75,1.1,2.1,3.2,1.7,0.8,0.1,0.2,0.9,7.7,0,0,-0.4,2021
132,Brittany Boyd-Jones,CHI,29,2,2,0,11.2,2,0.5,2,25,0.5,1,50,0.5,1,50,0,1,1,2,2,1,0,1,7.5,0,0,-3,2021
132,Kalani Brown,ATL,25,1,1,0,4.7,2,1,3,33.3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,-4,2021
132,Shyla Heal,CHI,20,4,0,4,7.9,2,0.3,2,12.5,0,0.8,0,1.5,1.5,100,0.3,0.5,0.8,0.8,2.5,0,0,1.5,3.5,0,0,-1.5,2021
132,Stella Johnson,WAS,23,6,4,2,5.2,2,0.5,1.3,37.5,0.3,0.8,40,0.7,0.7,100,0.5,0,0.5,0.3,0.8,0,0.2,1.2,3.5,0,0,-1.2,2021
136,JiSu Park,LVA,23,25,18,7,8.9,2,0.7,2.1,32.7,0,0.2,0,0.6,0.7,83.3,0.6,1.2,1.8,0.8,0.8,0.1,0.6,1.1,6.2,0,0,0.1,2021
137,Kysre Gondrezick,IND,24,19,3,16,9.1,1.9,0.7,2.4,28.3,0.4,1.5,28.6,0.1,0.2,50,0.2,0.8,1,0.9,0.9,0.4,0,0.7,5,0,0,-3.7,2021
138,Beatrice Mompremier,CON,25,32,26,6,8.6,1.8,0.8,1.7,49.1,0,0,0,0.2,0.4,41.7,0.9,1.5,2.4,0.2,0.6,0.4,0.3,1.4,5.7,0,0,-0.7,2021
139,Lexie Brown,CHI,27,17,10,7,9.5,1.6,0.6,2.2,26.3,0.5,1.9,24.2,0,0,0,0,0.7,0.7,1.1,0.5,0.4,0,0.6,4.8,0,0,-0.1,2021
140,Kiah Stokes,LVA,29,24,14,10,18.5,1.5,0.7,1.2,57.1,0,0.1,50,0.2,0.3,66.7,1.5,4,5.4,0.8,0.5,0.4,0.7,1.4,10,0,0,1.2,2021
141,Natasha Mack,MIN,24,4,3,1,4.5,1.5,0.5,0.8,66.7,0,0,0,0.5,0.5,100,0.3,0.8,1,0,0.5,0,0,0.5,2.5,0,0,-1.3,2021
142,Stephanie Jones,CON,23,18,16,2,5.5,1.4,0.7,1.6,41.4,0,0.1,0,0.1,0.1,50,0.7,0.6,1.2,0.2,0.2,0.1,0.1,0.5,3.1,0,0,-1.8,2021
143,Alanna Smith,PHO,25,18,13,5,6.5,1.2,0.4,1.9,23.5,0.2,1.2,19,0.1,0.2,25,0.3,1.1,1.3,0.6,0.3,0.4,0.3,0.6,4.7,0,0,-0.3,2021
144,Aaliyah Wilson,IND,23,14,4,10,8.5,1.1,0.4,1.9,23.1,0.1,0.5,14.3,0.1,0.3,50,0.4,0.5,0.9,0.6,0.6,0.2,0.1,1.2,3.3,0,0,-4.3,2021
145,Destiny Slocum,LVA,24,21,16,5,6.4,1,0.3,1,31.8,0.2,0.7,33.3,0.1,0.2,60,0.1,0.8,0.9,0.6,0.3,0.1,0,0.9,3.1,0,0,2.2,2021
146,Cierra Burdick,SEA,28,14,6,8,4.6,0.9,0.4,0.8,45.5,0,0,0,0.2,0.4,60,0.5,0.9,1.4,0.4,0.2,0.2,0.2,0.4,3.6,0,0,-0.6,2021
147,Chelsea Dungee,DAL,25,14,8,6,4.6,0.6,0.2,1.2,17.6,0.1,0.7,20,0,0,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0.5,1.1,0,0,0.1,2021
148,Kiana Williams,SEA,23,10,7,3,3.5,0.4,0.1,0.7,14.3,0.1,0.6,16.7,0.1,0.1,100,0,0.4,0.4,0.2,0.3,0.1,0,0.3,1.3,0,0,-3.3,2021
149,Aleah Goodman,CON,23,1,1,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-8,2021
149,Angel McCoughtry,LVA,35,1,1,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
149,Haley Gorecki,PHO,25,3,2,1,2.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0,0.7,0,0,-2,2021
149,Jasmine Walker,LAS,24,2,0,2,10,0,0,2.5,0,0,2,0,0,1,0,0,1,1,1,0.5,1,0.5,0.5,5,0,0,-10.5,2021
149,Jillian Alleyne,MIN,27,2,0,2,3.9,0,0,1,0,0,0,0,0,0,0,0.5,1.5,2,0,0,0.5,0,0,3,0,0,0.5,2021
149,Linnae Harper,MIN,27,1,0,1,5.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,7,2021
149,Mikiah Herbert Harrigan,SEA,23,1,0,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1,Arike Ogunbowale,DAL,24,22,8,14,34,22.8,7.9,19.1,41.2,2.2,6.5,33.6,4.9,5.7,85.6,0.5,2.3,2.8,3.4,2,1.5,0,2.4,34.2,0,0,-1.2,2020
2,A'ja Wilson,LVA,24,22,18,4,31.7,20.5,7.5,15.7,48,0,0,0,5.4,6.9,78.1,1.5,7,8.5,2,1.6,1.2,2,2.2,37.5,7,0,8.1,2020
3,DeWanna Bonner,CON,33,22,10,12,33.3,19.7,6.7,16,42.2,1.2,4.9,25.2,5,5.6,89.5,1.5,6.3,7.8,3,2.4,1.7,0.5,2.1,36.2,5,0,2.8,2020
4,Breanna Stewart,SEA,26,20,17,3,30.4,19.7,6.7,14.8,45.1,1.8,4.8,36.8,4.7,5.2,89.4,1,7.3,8.3,3.6,2.5,1.7,1.3,2.3,39.2,5,0,10.1,2020
5,Diana Taurasi,PHO,39,19,11,8,28.1,18.7,5.1,12.4,40.9,3.2,8.8,36.5,5.4,5.9,91.2,0.1,4.1,4.2,4.5,2.3,1,0.4,2.7,33.5,2,0,0.7,2020
6,Sabrina Ionescu,NYL,23,3,0,3,26.6,18.3,6.3,14,45.2,2.3,6.7,35,3.3,3.3,100,0.7,4,4.7,4,4.3,0.7,0,1.3,30.7,0,0,-8.7,2020
7,Kelsey Mitchell,IND,25,22,6,16,32.1,17.9,6.3,14,44.8,2.5,6.5,38.9,2.8,3.3,84.9,0.3,1.9,2.2,2.8,2.5,0.6,0.1,2.8,26.9,0,0,-6.4,2020
8,Skylar Diggins-Smith,PHO,30,22,13,9,30.7,17.7,5.8,12.2,47.4,2.1,5.3,39.7,4.1,4.5,90,0.5,2.8,3.3,4.2,3.2,0.9,0.5,2.3,30.2,0,0,-1.9,2020
9,Brittney Griner,PHO,30,12,6,6,31.8,17.7,7.3,14.6,49.7,0,0.1,0,3.2,3.9,80.9,1.5,6,7.5,3,2.5,0.3,1.8,2.5,32.5,1,0,2.3,2020
10,Chennedy Carter,ATL,22,16,6,10,25.4,17.4,6.6,14,47.3,0.8,2,37.5,3.4,4.2,82.1,0.5,1.8,2.3,3.4,2.7,0.9,0.3,3.6,26.3,0,0,-5.3,2020
11,Betnijah Laney-Hamilton,ATL,27,22,7,15,33.3,17.2,6.5,13.5,48.1,1.4,3.4,40.5,2.8,3.4,82.7,1.1,3.8,4.9,4,3,1.6,0.1,2.5,30.7,4,0,-4.1,2020
12,Myisha Hines-Allen,WAS,26,22,9,13,29.9,17,6.8,13.4,51,1.2,2.8,42.6,2.2,2.6,82.8,1.6,7.3,8.9,2.6,2.2,1.5,0.2,2.9,33,10,0,2.2,2020
13,Aerial Powers,WAS,27,6,3,3,29.8,16.3,5.3,11.5,46.4,1.5,4.3,34.6,4.2,5,83.3,0.3,4.5,4.8,2.5,1.8,1.5,0,2.7,28.2,0,0,7.2,2020
14,Crystal Dangerfield,MIN,23,21,13,8,30,16.2,5.9,12.5,47.1,1.6,4.9,33.3,2.8,3,92.2,0.2,1.7,2,3.6,2.5,0.9,0,1.5,25.2,0,0,3,2020
15,Napheesa Collier,MIN,24,22,14,8,34.2,16.1,6.2,11.8,52.3,0.9,2.2,40.8,2.9,3.5,82.9,2.8,6.3,9,3.3,2.7,1.8,1.3,2.7,35.6,7,0,4.9,2020
16,Alyssa Thomas,CON,29,21,10,11,32.8,15.5,5.8,11.6,50,0,0,0,3.9,5.6,68.6,1.9,7.2,9,4.8,2.5,2,0.3,2.8,33.9,7,0,2.7,2020
17,Jewell Loyd,SEA,27,22,18,4,27.8,15.5,5.1,11.5,44.3,1.8,4.5,39,3.5,4,87.5,0.6,1.7,2.4,3.2,1.9,1.5,0.3,1.5,26.2,0,0,8.3,2020
18,Allie Quigley,CHI,35,22,12,10,28.7,15.4,5.9,13.1,44.8,2.1,6,34.6,1.5,1.7,91.9,0.3,2.6,2.9,2.3,1.3,0.6,0.3,1.4,24.5,0,0,1.7,2020
19,Ariel Atkins,WAS,24,22,9,13,31,14.8,5,11.4,43.8,2,4.9,41.1,2.8,3.2,88.6,0.8,2.1,2.9,2.4,1.9,1.8,0.3,2.6,26.2,0,0,1.6,2020
19,Kahleah Copper,CHI,26,22,12,10,31.3,14.8,6,12.1,49.6,1,2.8,34.4,1.9,2.5,73.2,1,4.5,5.5,2.1,2.5,1,0.2,2.4,25.7,0,0,3.1,2020
21,Candace Parker,LAS,35,22,15,7,30,14.7,5.6,11,51,0.9,2.2,39.6,2.6,3.5,73.1,1.7,8,9.7,4.6,2.9,1.2,1.2,2.3,34.7,10,0,4.7,2020
22,Bria Hartley,PHO,28,13,7,6,24.8,14.6,5.1,12.1,42,1.9,5,38.5,2.5,3.2,80.5,0.4,2.5,2.9,4.5,2.1,1.2,0,2.5,26.2,0,0,0.2,2020
23,Courtney Williams,ATL,27,20,6,14,30.5,14.6,6.7,15.4,43.6,0.4,1.7,23.5,0.8,1.2,69.6,1.9,5.3,7.2,3.2,2.7,0.7,0.1,2,26.8,4,0,-5.4,2020
24,Sylvia Fowles,MIN,35,7,5,2,24.1,14.6,5.6,9.1,60.9,0,0,0,3.4,4.1,82.8,3,6.7,9.7,0.9,1.1,0.9,1.1,2.6,29.1,4,0,5.3,2020
25,Angel McCoughtry,LVA,34,22,18,4,20,14.4,5.3,10.3,51.8,0.7,1.5,47.1,3,3.5,88.2,1.7,3.4,5.1,2.5,1.7,1.3,0.3,2.2,25.9,1,0,6.7,2020
26,Chelsea Gray,LAS,28,22,15,7,30.6,14,5.5,12.5,44.2,0.8,2.7,30.5,2.1,2.2,93.9,0.7,3,3.7,5.3,2.7,1.5,0.1,1.7,27,0,0,4.5,2020
27,Satou Sabally,DAL,23,16,5,11,28.2,13.9,4.2,11.4,36.8,0.8,4.1,19.7,4.7,5.4,87.2,2.6,5.2,7.8,2.5,2.2,0.8,0.9,3.1,28.3,5,0,-3.6,2020
28,Courtney Vandersloot,CHI,32,22,12,10,31.5,13.6,4.9,9.9,49.1,1.4,3.5,39.5,2.5,2.9,88.9,0.5,3,3.5,10,2.5,1.2,0.4,2.1,31.6,9,0,6.3,2020
29,Cheyenne Parker-Tyus,CHI,28,20,10,10,24.9,13.4,4.9,8.8,55.4,0.8,1.6,46.9,3,3.5,85.5,2.4,4.1,6.4,1.5,2.8,1.3,0.9,3.2,26.5,3,0,2.2,2020
30,Nneka Ogwumike,LAS,30,18,14,4,26.2,13.3,5.3,9.3,56.9,0.5,1,50,2.3,2.7,83.7,1.2,3.7,4.8,1.7,1.6,1.1,0.2,2.3,22.8,0,0,3.7,2020
31,Allisha Gray,DAL,26,20,7,13,26.2,13.1,4.6,9.8,46.4,1.3,3.6,35.2,2.7,3.3,83.1,1.4,2.9,4.2,1.3,1.1,1.1,0.3,1.9,22.6,0,0,0.7,2020
32,Dearica Hamby,LVA,27,22,18,4,28.3,13,5,9.3,53.9,0.8,1.7,47.4,2.2,3,71.6,1.3,5.9,7.1,2.7,2,1.7,0.2,2.3,27.4,4,0,5.9,2020
32,Emma Meesseman,WAS,28,20,9,11,31.7,13,5.5,12,45.4,0.7,2.3,28.9,1.5,1.8,82.9,1.7,3.7,5.3,4.5,2,1.2,0.8,1.8,27.5,3,0,-0.5,2020
34,Damiris Dantas,MIN,28,22,14,8,26.6,12.9,4.6,10,46.4,1.8,4.1,43.3,1.8,2.5,72.7,1.7,4.4,6.1,2.6,1.8,1.1,0.2,2.5,26.1,1,0,2.2,2020
35,Tiffany Mitchell,IND,26,19,5,14,26.4,12.7,3.9,11.3,34.6,0.9,3.8,23.3,4.1,4.3,95.1,0.8,2.6,3.4,2.6,2.4,0.6,0.1,2.6,21.1,0,0,-3.7,2020
36,Candice Dupree,IND,36,22,6,16,30.2,12.5,5.3,11.4,46.2,0.1,0.8,16.7,1.9,2.2,85.4,1.2,4.5,5.7,2.5,1.3,0.7,0.4,1.2,23.1,0,0,-7.3,2020
37,Kayla McBride,LVA,29,22,18,4,26.6,12.5,4.1,9.6,42.5,1.1,3.3,34.2,3.2,3.5,89.7,0.4,1.9,2.3,2.4,1.4,1.2,0.1,1.4,20.9,0,0,4.6,2020
38,Kia Nurse,NYL,25,21,2,19,27.5,12.2,3.2,11.9,27.3,1.5,6.2,23.8,4.2,4.9,86.4,0.5,2.3,2.9,2.3,2.2,0.5,0.2,1.8,20.2,0,0,-8.6,2020
39,Azurá Stevens,CHI,25,13,9,4,27.3,11.5,4.5,9.1,50,1.2,3,38.5,1.3,1.5,85,1.4,4.5,5.9,1.5,1.5,0.9,1.8,3,25.7,2,0,2.6,2020
40,Layshia Clarendon,NYL,30,19,2,17,26.1,11.5,3.9,8.4,46.5,0.8,2.3,34.1,2.9,3.3,87.3,0.3,2.2,2.5,3.9,3.4,0.9,0,2.9,20.6,0,0,-7.2,2020
41,Brionna Jones,CON,25,21,9,12,26.1,11.2,4.7,7.7,60.5,0,0,100,1.8,2.6,69.1,2.8,2.8,5.6,1,1.6,1.7,0.7,3.1,22.5,2,0,3,2020
42,Jackie Young,LVA,23,22,18,4,25.8,11,4.2,8.6,49.2,0.1,0.6,23.1,2.4,2.8,85.2,0.8,3.5,4.3,3,1.6,0.7,0.1,1.8,20,0,0,5.6,2020
43,Teaira McCowan,IND,24,22,6,16,20.9,10.9,4.1,7.6,53.6,0,0.1,0,2.7,3.6,75,3.1,4.2,7.3,0.6,2,0.3,1,2.6,21.5,5,0,-3.2,2020
44,Jazmine Jones,NYL,24,20,2,18,21.4,10.8,3.5,8.6,40.4,0.8,2.3,33.3,3.2,4,78.8,0.9,3.2,4.1,2.3,2.9,1.4,0.5,3,21.6,0,0,-7.4,2020
45,Marina Mabrey,DAL,24,18,6,12,22.4,10.6,3.8,8.8,43,2.1,5.1,41.8,0.9,1.3,66.7,0.6,2.7,3.3,2.4,1.7,1.4,0.1,2.1,21.3,0,0,-1.2,2020
46,Riquna Williams,LAS,31,21,14,7,21.1,10.5,3.9,8.9,43.5,2,4.9,42.2,0.8,0.9,88.9,0.1,1.7,1.8,1.5,0.9,1.1,0.3,2,18.8,0,0,-0.1,2020
47,Jasmine Thomas,CON,31,19,9,10,25.5,10.2,4,9.9,40.4,1.1,3.3,33.3,1.1,1.2,91.3,0.2,1.5,1.7,4,2.4,1.3,0.3,1.6,20.1,0,0,3.7,2020
48,Elizabeth Williams,ATL,28,22,7,15,29.2,10.1,4,8.1,48.9,0,0,0,2.2,3,74.2,2.2,3.5,5.7,1.4,1.1,0.8,1.4,2.6,21.5,3,0,-4.3,2020
49,Brittney Sykes,LAS,27,21,14,7,24.4,10.1,3.5,7.1,48.7,0.8,2.3,32.7,2.4,3,80.6,0.8,1.8,2.6,2.1,1.7,1.5,0.3,3,19.1,0,0,4.1,2020
50,Alysha Clark,SEA,33,22,18,4,28.8,10,3.7,6.7,55.8,1.6,3,52.2,0.9,1.1,80,0.9,3.4,4.2,2.7,0.9,1.5,0.5,1.7,22.5,0,0,11.9,2020
51,Sue Bird,SEA,40,11,10,1,23.4,9.8,3.7,7.5,49.4,2.1,4.5,46.9,0.3,0.4,75,0.1,1.6,1.7,5.2,1.6,0.6,0.2,0.8,20.5,0,0,11.7,2020
52,Leilani Mitchell,WAS,36,22,9,13,30.6,9.5,3.3,8.1,40.8,1.3,4.3,30.5,1.5,1.8,87.2,0.5,2.3,2.8,5.4,1.7,0.8,0,2.1,20.7,1,0,-0.5,2020
52,Natasha Howard,SEA,29,22,18,4,21,9.5,4,7.5,53,0.3,0.9,35,1.3,1.6,77.8,2.4,4.7,7.1,1,2.1,1.7,0.6,3,22.6,3,0,7.4,2020
54,Odyssey Sims,MIN,28,13,7,6,18.5,9.4,3.2,8,40.4,0.6,1.8,33.3,2.3,2.5,90.9,0.6,1.4,2,3.5,1.9,0.5,0.1,1.7,16.7,0,0,0.8,2020
55,Amanda Zahui B,NYL,27,21,2,19,25.3,9,3.1,8.8,35.3,1.6,4.8,34,1.2,1.7,69.4,0.7,7.8,8.5,1.9,2.6,0.9,1.2,3.1,25.3,3,0,-6.7,2020
56,Julie Allemand,IND,24,22,6,16,32.6,8.5,2.8,6,45.9,2,4.2,47.8,1,1.4,73.3,0.4,4.2,4.5,5.8,2.6,1.1,0.4,2.6,24,0,0,-8,2020
57,Tianna Hawkins,WAS,30,17,5,12,19.3,8.5,3.1,7.6,40.8,1,3.4,29.8,1.3,1.5,84.6,0.7,2.8,3.5,1,1.2,0.8,0.4,2.6,16.4,1,0,-5.3,2020
58,Monique Billings,ATL,25,22,7,15,27.1,8.5,3.1,7.7,40,0,0,0,2.3,3,76.1,2.6,5.9,8.5,1.2,1.9,1.1,0.8,2.8,22,4,0,-3.5,2020
59,Sami Whitcomb,SEA,32,22,18,4,16.5,8.1,2.8,6.4,44.3,1.5,3.8,38.1,1,1,100,0.2,2.1,2.3,2,1,0.7,0.1,1.4,15.5,0,0,3.9,2020
60,Jordin Canada,SEA,25,20,16,4,24.2,7.9,2.8,6.6,42.4,0.1,0.6,9.1,2.2,2.9,77.2,0.5,1.8,2.3,5.5,2,1.5,0,1.8,18.7,0,0,5.3,2020
61,Natalie Achonwa,IND,28,18,4,14,20.2,7.8,3.2,6.4,49.6,0,0.6,0,1.4,1.8,81.3,1.4,4.1,5.5,1.7,1.8,0.5,0.6,2.6,17.2,0,0,-6.2,2020
62,Gabby Williams,CHI,24,22,12,10,24.8,7.7,3,7.2,42.4,0.9,3.2,28.6,0.7,1.1,64,0.9,3.1,4,2,1.7,1.3,0.2,1.5,17.7,0,0,-0.5,2020
63,Danielle Robinson,LVA,32,22,18,4,22.4,7.4,2.8,5.5,51.2,0.2,0.6,38.5,1.5,1.9,81,0.2,2.2,2.4,3.3,1.3,0.9,0.1,1.7,15.2,0,0,5.8,2020
64,Kayla Thornton,DAL,28,22,8,14,25.3,7.3,2.5,5.8,42.5,1.1,3.3,34.7,1.3,1.5,87.5,1.5,3.7,5.1,0.8,1.1,0.9,0.2,3,16.5,2,0,-1.6,2020
