,PLAYER,TEAM,AGE,games played,W,L,avg minutes per game,PTS,FGM (field goals made AKA num baskets made),FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year
41,Alyssa Thomas,CON,32,40,28,12,32.4,10.6,4.2,8.2,50.9,0,0.1,0,2.3,3.6,62.8,2.5,6,8.4,7.9,3.6,1.6,0.5,2.1,30.9,14,3,4.8,2024
42,Jordin Canada,ATL,29,20,9,11,31.2,10.6,3.5,8.9,39,0.8,2.9,28.1,2.9,3.7,78.1,0.6,2.9,3.5,5.8,2.1,1.6,0.3,2.6,24.3,1,0,1.1,2024
42,NaLyssa Smith,IND,24,40,20,20,24.7,10.6,4.2,8.8,48,0.4,1.2,29.2,1.8,3.2,56.7,1.8,5.3,7.1,1,1.3,0.8,1,2.7,22.5,7,0,-4.8,2024
44,Tyasha Harris,CON,26,39,27,12,28.8,10.5,3.7,8.7,42.5,1.5,3.9,39.5,1.5,2,76.6,0.3,1.5,1.8,3,1.4,1,0.3,1.7,19.5,0,0,4.6,2024
45,Gabby Williams,SEA,28,12,7,5,29.2,10.3,4.2,8.7,48.1,0.8,2.6,32.3,1.2,1.6,73.7,0.8,3.3,4,3.7,1.4,1.7,0.3,1.8,22.7,0,0,1.8,2024
46,Alanna Smith,MIN,28,39,29,10,26.5,10.1,3.8,8,47.1,1.2,3,39.8,1.4,1.8,75,1.6,4.1,5.6,3.2,1.9,1.4,1.5,3.1,25.8,2,0,6.2,2024
47,Elizabeth Williams,CHI,31,9,4,5,27.7,10,4.1,8.4,48.7,0,0,0,1.8,2.7,66.7,2.8,4.2,7,1.6,1.7,1.7,1.7,2.1,25.2,2,0,1.6,2024
48,Kamilla Cardoso,CHI,23,32,10,22,27.4,9.8,3.9,7.6,52.1,0,0,0,1.9,2.6,72.6,3,4.9,7.9,1.7,1.5,0.5,1.4,3.2,23.3,7,0,-3.3,2024
49,Azurá Stevens,LAS,28,20,3,17,24.7,9.6,3.6,8.9,39.9,1.4,4,35,1.1,1.4,81.5,1,6,7,1.9,1.8,0.9,0.9,2,23.4,4,0,-5.9,2024
50,Bridget Carleton,MIN,27,39,29,10,29.9,9.6,3.2,7.3,44.4,2.3,5.3,44.4,0.8,1,78.9,0.9,2.8,3.8,2.2,1,1,0.3,2.1,20.5,0,0,6.1,2024
51,Stefanie Dolson,WAS,32,39,14,25,26,9.5,3.4,7.2,47.5,1.8,4,46.5,0.8,1.1,78.6,0.8,4.1,4.9,2.6,1.7,0.5,0.5,2.9,20.9,1,0,-2,2024
52,Tiffany Hayes,LVA,35,33,22,11,21.4,9.5,3.3,6.7,50,1,2.5,40.2,1.8,2.5,71.4,0.8,2,2.8,2.1,0.8,0.8,0.3,2.1,17.4,1,0,2.8,2024
53,Maddy Siegrist,DAL,24,27,6,21,23.8,9.4,3.9,7.8,50.5,0.4,1.4,27,1.2,1.6,76.7,1.6,1.7,3.3,1,0.6,0.4,0.4,1.2,15.6,0,0,-4.6,2024
54,Cheyenne Parker-Tyus,ATL,32,25,9,16,19.7,9.2,3.3,7.5,44.4,0.1,0.6,21.4,2.5,2.8,89.9,1.2,3.6,4.8,1.5,2.1,0.8,0.4,2.4,18.1,0,0,-4.2,2024
55,Aari McDonald,LAS,26,26,6,20,21.8,8.7,3,7.3,40.3,1.1,3.5,31.9,1.7,2,84.3,0.5,1.5,2,3.7,1.8,0.9,0.2,2,17.7,1,0,-3,2024
56,Chelsea Gray,LVA,32,27,20,7,26,8.6,3.1,7.6,40.8,1,2.9,33.8,1.4,1.8,81.3,0.2,2.7,2.9,4.9,2.4,1.3,0.7,1.4,21.3,1,0,5.7,2024
57,Aerial Powers,ATL,30,17,7,10,17.9,8.6,2.9,8.1,35.5,0.8,2.1,38.9,2,2.5,79.1,0.9,2.4,3.3,1.4,1.1,0.9,0.2,2.1,16.5,0,0,-4.2,2024
58,Karlie Samuelson,WAS,29,29,10,19,24.5,8.4,2.7,6.7,40.9,1.7,4.2,39.8,1.2,1.3,92.3,0.5,2,2.6,2.1,0.9,0.9,0,1.7,16.7,0,0,-0.1,2024
59,Sophie Cunningham,PHO,28,40,19,21,27.7,8.4,2.6,6,42.9,1.7,4.5,37.8,1.5,1.7,87,0.4,3.5,3.9,2,1,1,0.3,2.3,18.5,1,0,-1,2024
60,Lexie Brown,LAS,30,16,4,12,23.7,8.1,2.6,8.2,32.1,1.3,4.3,30.4,1.5,1.7,88.9,0.1,2.3,2.3,3.3,1.9,1.1,0.1,1.4,17.4,0,0,-2.5,2024
61,Myisha Hines-Allen,MIN,29,40,17,23,18.7,7.8,3,6.1,49.2,0.5,1.3,36,1.4,1.7,83.3,1.1,3.6,4.7,2.6,1.4,0.7,0.1,2,17,2,0,-3,2024
62,Aaliyah Edwards,WAS,22,34,11,23,21.8,7.6,3,6.2,49,0,0.2,0,1.5,2.4,65,1.4,4.2,5.6,1.4,1.5,0.7,0.8,2.7,17.7,3,0,-3.7,2024
63,Kia Nurse,LAS,28,40,8,32,20.3,7.6,2.6,6.6,38.8,1.3,4,33.1,1.2,1.5,79.3,0.4,1.2,1.6,1.3,1.2,0.5,0,1.8,12.8,0,0,-3.9,2024
64,Cameron Brink,LAS,22,15,4,11,22,7.5,2.7,6.9,39.8,0.7,2.1,32.3,1.4,1.7,84,1.2,4.1,5.3,1.7,2.3,1.1,2.3,4,22,1,0,-4.8,2024
65,Shatori Walker-Kimbrough,WAS,29,40,14,26,22.1,7.5,2.6,6.3,41.5,0.9,2.7,33,1.4,1.7,80.6,0.3,1.4,1.7,1.9,1.4,1.1,0.5,1,15,0,0,-1.9,2024
66,Monique Billings,PHO,28,37,10,27,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,1.8,0.7,0.5,2.3,17.2,5,0,-4.7,2024
67,Rebecca Allen,PHO,32,18,11,7,24.9,7.4,2.9,7,42.1,1.4,3.9,35.7,0.1,0.2,66.7,0.7,3.2,3.9,1.1,1,0.9,0.7,1.9,17.1,0,0,-0.7,2024
68,Julie Vanloo,WAS,31,40,14,26,23.2,7.4,2.7,7.7,34.6,1.8,5.6,32.4,0.3,0.4,66.7,0.1,1.5,1.6,4.3,2.6,0.5,0,2.2,16.1,0,0,-1.9,2024
69,Dana Evans,CHI,26,39,12,27,19.1,7.2,2.4,6.5,37.7,1.1,2.8,37.6,1.2,1.3,96,0.1,1,1.1,2.4,1.4,0.7,0.1,1.2,13.3,0,0,-6.1,2024
70,Jordan Horston,SEA,23,39,24,15,22.3,6.8,2.8,5.8,49.3,0.3,1.3,25,0.8,1.1,72.1,1.2,3.1,4.3,1.8,1.7,1.3,0.7,1.9,17.1,1,0,0.5,2024
71,Leonie Fiebich,NYL,24,40,32,8,20.9,6.7,2.4,5.1,47.8,1.4,3.2,43.3,0.5,0.6,72,1,2.1,3,1.8,1,1,0.2,2.2,15.1,0,0,7,2024
72,Michaela Onyenwere,CHI,25,34,10,24,18.7,6.6,2.6,6.2,41.5,0.7,2,36.8,0.7,1.2,61,0.6,1.3,1.8,1,1.3,0.6,0.4,2,12,0,0,-3.2,2024
73,Lindsay Allen,CHI,29,40,13,27,23.8,6.6,2.6,5.6,46.6,0.4,1.2,29.2,1.1,1.3,80.8,0.3,1.7,2,3.9,1.6,0.8,0.2,1.7,14.8,0,0,-0.2,2024
74,Isabelle Harrison,CHI,31,36,11,25,16.3,6.5,2.6,6.6,39.9,0.1,0.5,16.7,1.1,1.4,82,1.1,2.9,3.9,0.8,1.1,0.6,0.3,1.3,13,3,0,-4.8,2024
75,Temi Fagbenle,IND,32,22,8,14,18.9,6.4,2.6,5.2,50.9,0.1,0.5,16.7,1,1.3,78.6,1.4,3.3,4.7,0.9,1.2,0.5,0.7,3,14.5,1,0,0.4,2024
76,Courtney Vandersloot,NYL,35,31,24,7,22.3,6.4,2.6,5.9,44.5,0.6,2.2,26.9,0.5,1,54.8,0.4,2.2,2.6,4.8,1.8,0.8,0.5,1.7,16.9,1,0,4.7,2024
77,Emily Engstler,WAS,24,32,14,18,14.5,6.2,2.4,4.8,49.4,0.8,1.8,47.4,0.6,0.7,81.8,1.4,2.6,4,1.5,0.7,0.6,0.8,1.5,15.2,1,0,0,2024
78,Alysha Clark,LVA,37,40,27,13,24.3,6,2.1,4.8,44.3,1.2,3.2,37.3,0.6,0.7,82.1,0.5,3.1,3.6,1.8,1.4,0.8,0.3,2.7,14.8,0,0,4.5,2024
79,Rae Burrell,LAS,24,37,7,30,15.7,5.9,1.6,4.4,36.2,0.6,1.9,33.3,2.1,2.7,78,0.6,1.3,1.8,1.1,1,0.8,0.3,1.6,11.7,0,0,-2.4,2024
80,Naz Hillmon,ATL,24,40,15,25,21.7,5.7,2.3,4.1,55.2,0,0.1,33.3,1.2,1.6,76.2,1.6,3.2,4.8,1.3,1,0.7,0.3,1.4,13.8,1,0,0.1,2024
81,Kalani Brown,DAL,27,39,9,30,13.2,5.7,2.4,4.1,58.2,0,0.1,0,1,1.5,66.1,1.1,1.9,3.1,1.1,1.2,0.2,0.6,1.6,11.3,0,0,-2.5,2024
82,Rachel Banham,CHI,31,37,18,19,15.8,5.7,1.9,5.5,35.1,1.4,3.8,36.6,0.4,0.5,80,0.2,1.2,1.4,1.1,0.5,0.4,0.2,1.6,10.7,0,0,-1.2,2024
83,Kayla Thornton,NYL,32,40,32,8,20.2,5.5,1.9,5.1,37.9,1.1,3.2,35.7,0.6,0.7,84.6,1,1.6,2.6,0.7,0.6,0.7,0.2,1.4,11.8,0,0,2.7,2024
84,Lexie Hull,IND,25,34,17,17,19.7,5.5,1.8,4,44.1,1,2.1,47.1,1,1.2,80.5,1,1.5,2.5,1.1,0.9,0.6,0.3,2.5,11.9,0,0,0.7,2024
85,Jacy Sheldon,DAL,24,40,9,31,23.3,5.4,2,5.3,38.6,0.8,2.4,30.9,0.6,0.7,92.6,0.7,1.4,2.1,2.5,1.6,0.6,0.3,2.5,12.5,0,0,-5.8,2024
86,Jade Melbourne,WAS,22,37,14,23,14.2,5.4,1.9,4.5,43.4,0.5,1.5,35.7,0.9,1.3,71.4,0.4,1.1,1.5,1.6,1.7,0.6,0.1,1.5,10.6,0,0,-0.4,2024
